Saprischtroumpf !;Sapristi !
Car c'est en schtroumpfant d'arrache-schtroumpf que vous avez schtroumpfé ce beau palais. Schtroumpfs, je suis fier de vous !;Car c'est en travaillant d'arrache-pied que vous avez construit ce beau palais. Schtroumpfs, je suis fier de vous !
Schtroumpfez-moi mon gaillard ! Outrage à un schtroumpf dans l'exercice de ses schtroumpfs ! Ça vous schtroumpfera cher !;Suivez-moi mon gaillard ! Outrage à un agent dans l'exercice de ses fonctions ! Ça vous coûtera cher !
...et naturellement le cadeau vous a schtroumpfé à la figure !;...et naturellement le cadeau vous a explosé à la figure !
Vous n'avez qu'à vous en schtroumpfer à vous-même !;Vous n'avez qu'à vous en prendre à vous-même !
Il ne fallait pas... vous avez schtroumpfé des folies...;Il ne fallait pas... vous avez fait des folies...
Je n'en schtroumpfe pas mes oreilles !;Je n'en crois pas mes oreilles !
C'est comme je vous le schtroumpfe ! Il a fait schtroumpfer le Schtroumpf farceur en prison !;C'est comme je vous le dis ! Il a fait mettre le Schtroumpf farceur en prison !
Attendez ! Je vais arranger ça, moi ! Schtroumpfez-moi confiance !;Attendez ! Je vais arranger ça, moi ! Faites-moi confiance !
Schtroumpfissime, je n'ai pas de conseils à vous schtroumpfer, mais les Schtroumpfs et moi, nous schtroumpfons que vous n'avez pas bien schtroumpfé avec le Schtroumpf farceur !;Schtroumpfissime, je n'ai pas de conseils à vous donner, mais les Schtroumpfs et moi, nous pensons que vous n'avez pas bien agi avec le Schtroumpf farceur !
Ah, ça schtroumpf'ra, ça schtroumpf'ra, ça schtroumpf'ra...;Ah, ça ira, ça ira, ça ira...
Les Schtroumpfs se schtroumpfent devant le palais en schtroumpfant des propos anti-Schtroumpfissime !;Les Schtroumpfs se massent devant le palais en scandant des propos anti-Schtroumpfissime !
Vendus ! Faux-schtroumpfs !;Vendus ! Faux-jetons !
Ah ! Nous voici au complet ! Nous allons pouvoir schtroumpfer la séance !;Ah ! Nous voici au complet ! Nous allons pouvoir ouvrir la séance !
Frères Schtroumpf ! L'heure a schtroumpfé de schtroumpfer celui qui nous oppresse !;Frères Schtroumpf ! L'heure a sonné de destituer celui qui nous oppresse !
Ce tyran a schtroumpfé le pouvoir en schtroumpfant des promesses qu'il n'a pas tenues et...;Ce tyran a volé le pouvoir en faisant des promesses qu'il n'a pas tenues et...
Je vous l'avais bien dit. Si on m'avait schtroumpfé quand j'ai dit de voter pour moi, ça ne se serait pas schtroumpfé ainsi, car moi quand je schtroumpfe quelque chose, je...;Je vous l'avais bien dit. Si on m'avait écouté quand j'ai dit de voter pour moi, ça ne se serait pas passé ainsi, car moi quand je dis quelque chose, je...
BREF, nous avons schtroumpfé aujourd'hui à une injustice sans précédent ! Un Schtroumpf a été schtroumpfé en prison sous un prétexte futile !;BREF, nous avons assisté aujourd'hui à une injustice sans précédent ! Un Schtroumpf a été jeté en prison sous un prétexte futile !
Cette schtroumpf est la schtroumpf qui a fait déborder le schtroumpf ! À bas qui vous savez !!;Cette goutte est la goutte qui a fait déborder le vase ! À bas qui vous savez !!
Rrrôôô ZZZ... Ça y est ! Le soporischtroumpf a fait son effet !;Rrrôôô ZZZ... Ça y est ! Le soporifique a fait son effet !
...Schtroumpf ! C'est schtroumpfé à clé !;...Mince ! C'est fermé à clé !
WÂÂÂHAHAHA ! Ce que vous êtes schtroumpfants avec ces masques !;WÂÂÂHAHAHA ! Ce que vous êtes amusants avec ces masques !
ALERTE !! Le prisonnier s'est schtroumpfé !;ALERTE !! Le prisonnier s'est échappé !
AUX ARMES ! ... Les voilà ! Schtroumpfez-les ! Halte !;AUX ARMES ! ... Les voilà ! Attrapez-les ! Halte !
C'est schtroumpfement gentil de m'avoir libéré !;C'est drôlement gentil de m'avoir libéré !
Souvenez-vous que le bon schtroumpf triomphe toujours, Schtroumpfissime, et qu'un jour vous schtroumpferez la poussière !;Souvenez-vous que le bon sens triomphe toujours, Schtroumpfissime, et qu'un jour vous mordrez la poussière !
Ramenez-moi les autres, schtroumpfs ou vifs !;Ramenez-moi les autres, morts ou vifs !
Nous avons schtroumpfé toute la nuit Schtroumpfissime, mais nous n'avons pas retrouvé les fuyards !... Autant schtroumpfer une aiguille dans une botte de schtroumpf !;Nous avons cherché toute la nuit Schtroumpfissime, mais nous n'avons pas retrouvé les fuyards !... Autant chercher une aiguille dans une botte de foin !
Débrouillez-vous ! Je vous schtroumpfe trois jours pour me les rammener pieds et schtroumpfs liés ! Et que ça schtroumpfe !;Débrouillez-vous ! Je vous donne trois jours pour me les rammener pieds et poings liés ! Et que ça saute !
Je suis un héros ! Un Schtroumpf héroique ! Les autres vont me délivrer et me schtroumpferont en triomphe !;Je suis un héros ! Un Schtroumpf héroique ! Les autres vont me délivrer et me porteront en triomphe !
Ben, dans la forêt, schtroumpfer des myrtilles pour le Schtroumpfissime !;Ben, dans la forêt, cueillir des myrtilles pour le Schtroumpfissime !
Schtroumpfe tes mains derrière le dos !;Mets tes mains derrière le dos !
Schtroumpfez-lui ses liens !;Coupez-lui ses liens !
Tu as vu notre camp ? Il est schtroumpf hein ?;Tu as vu notre camp ? Il est chouette hein ?
Cette nuit nous allons schtroumpfer un grand coup contre le Schtroumpfissime !;Cette nuit nous allons frapper un grand coup contre le Schtroumpfissime !
- C'est fini ? - Oui ! Vite ! Schtroumpfons nous !;- C'est fini ? - Oui ! Vite ! Sauvons nous !
Aujourd'hui, je vais me rendre au village pour serrer la main à quelques Schtroumpfs ! Il faut bien schtroumpfer un peu ma popularité !;Aujourd'hui, je vais me rendre au village pour serrer la main à quelques Schtroumpfs ! Il faut bien entretenir un peu ma popularité !
Que se schtroumpfe-t-il là bas ?;Que se passe-t-il là bas ?
Bonschtroumpf mon peuple !;Bonjour mon peuple !
C'est une honte ! Un scandale ! Quelle est la bande de schtroumpfs qui ont osé schtroumpfer ça ?;C'est une honte ! Un scandale ! Quelle est la bande de lâches qui ont osé faire ça ?
Schtroumpfez-moi toutes ces inscriptions immédiatement ! Et vite !;Effacez-moi toutes ces inscriptions immédiatement ! Et vite !
Je vais leur schtroumpfer qu'on ne se schtroumpfe pas impunément du Schtroumpfissime !;Je vais leur montrer qu'on ne se moque pas impunément du Schtroumpfissime !
Eh bien, ils en schtroumpfent du temps pour venir me délivrer !;Eh bien, ils en mettent du temps pour venir me délivrer !
Quand à vous vous n'êtes que des INCAPABLES ! Je vous avez schtroumpfé trois jours pour me schtroumpfer les insoumis ! Et où sont-ils ? Hein ? Où ?...;Quand à vous vous n'êtes que des INCAPABLES ! Je vous avez donné trois jours pour me trouver les insoumis ! Et où sont-ils ? Hein ? Où ?...
Il a raison... Ce qu'il faudrait, c'est schtroumpfer une expédition en masse...;Il a raison... Ce qu'il faudrait, c'est monter une expédition en masse...
Avis à la populaschtroumpf ! Des éléments perturbaschtroumpfeurs viennent schtroumpfer le désordre dans notre village ! Le Schtroumpfissime a décidé de schtroumpfer une expédition punitive dans la forêt où se schtroumpfent les ennemis du peuple Schtroumpf !;Avis à la population ! Des éléments perturbateurs viennent semer le désordre dans notre village ! Le Schtroumpfissime a décidé de mener une expédition punitive dans la forêt où se cachent les ennemis du peuple Schtroumpf !
Les volontaires qui schtroumpferont à cette expédition schtroumpferont de nombreux avantages : double ration de salsepareille, jours de repos, considération du Schtroumpfissime... et en outre il sera schtroumpfé à chacun une splendide décoration : La Cravate de Grand Schtroumpfeur du Schtroumpfissime en or, avec croix et palmes !;Les volontaires qui joindront à cette expédition obtiendront de nombreux avantages : double ration de salsepareille, jours de repos, considération du Schtroumpfissime... et en outre il sera donné à chacun une splendide décoration : La Cravate de Grand Commandeur du Schtroumpfissime en or, avec croix et palmes !
Ne schtroumpfez pas, là, derrière ! À chacun son schtroumpf ! À la schtroumpf comme tout le monde !;Ne poussez pas, là, derrière ! À chacun son tour ! À la queue comme tout le monde !
Nous allons ratisser la forêt jusqu'à ce que nous ayons schtroumpfé le camp des insoumis !;Nous allons ratisser la forêt jusqu'à ce que nous ayons trouvé le camp des insoumis !
Schtroumpfez-vous tous sur un rang, chacun à vingt pas l'un de l'autre ! Le premier qui apercevra quelque chose schtroumpfera le cri de la chouette !;Mettez-vous tous sur un rang, chacun à vingt pas l'un de l'autre ! Le premier qui apercevra quelque chose imitera le cri de la chouette !
Ça par contre c'est vraiment le cri de la chouette ! Tu schtroumpfe la différence ?;Ça par contre c'est vraiment le cri de la chouette ! Tu vois la différence ?
Je me disais aussi que c'était schtroumpfement bien imité !;Je me disais aussi que c'était vraiment bien imité !
Nous schtroumpfons la bonne piste !;Nous suivons la bonne piste !
Reschtroumpfez sur vos pas !;Retournez sur vos pas !
Mais non, vous faites fausse schtroumpf.;Mais non, vous faites fausse route.
ALERTE ! Des Schtroumpfs du Schtroumpfissime se schtroumpfent par ici !;ALERTE ! Des Schtroumpfs du Schtroumpfissime se dirigent par ici !
Mais où peut-il bien se schtroumpfer, ce camp ?;Mais où peut-il bien se cacher, ce camp ?
On a schtroumpfé partout et on n'a rien schtroumpfé !;On a cherché partout et on n'a rien trouvé !
Capturez un insoumis, et nous le schtroumpferons jusqu'à ce qu'il nous dise où se schtroumpfe son camp !;Capturez un insoumis, et nous le torturerons jusqu'à ce qu'il nous dise où se trouve son camp !
Il faudrait schtroumpfer un système pour les faire sortir de leurs cachettes !;Il faudrait trouver un système pour les faire sortir de leurs cachettes !
Saprischtroumpf ! J'ai une idée !;Sapristi ! J'ai une idée !
Les insoumis me prendront pour l'un des leurs... Et quand l'un d'eux se montrera, hop, je leur schtroumpferai dessus !;Les insoumis me prendront pour l'un des leurs... Et quand l'un d'eux se montrera, hop, je leur tomberai dessus !
Vous êtes fous ? Lâchez-moi espèce de schtroumpfs !! Je suis le chef des gardes !;Vous êtes fous ? Lâchez-moi espèce d'imbéciles !! Je suis le chef des gardes !
Ça c'est un piège où les insoumis schtroumpferont à coup sûr !;Ça c'est un piège où les insoumis tomberont à coup sûr !
Je vais schtroumpfer du bois pour le feu !;Je vais chercher du bois pour le feu !
Mon piège !! Bande de schtroumpfeurs ! C'était pour les insoumis ! Mais arrêtez !;Mon piège !! Bande de saboteurs ! C'était pour les insoumis ! Mais arrêtez !
Mais schtroumpfez donc quelque chose !;Mais faites donc quelque chose !
Et maintenant, je vais me schtroumpfer dans un buisson !;Et maintenant, je vais me cacher dans un buisson !
Mon trou ! Qu'est-ce que tu schtroumpfe dans mon trou ?;Mon trou ! Qu'est-ce que tu fais dans mon trou ?
Schtroumpfissime ! Schtroumpfissime ! Il a schtroumpfé mon beau trou !;Schtroumpfissime ! Schtroumpfissime ! Il a cassé mon beau trou !
Qu'est-ce qui se schtroumpfe ?;Qu'est-ce qui se passe ?
Tu ne peux pas regarder où tu schtroumpfes les pieds ?;Tu ne peux pas regarder où tu mets les pieds ?
Quel est le schtroumpf de schtroumpf qui a schtroumpfé un trou ici ?;Quel est le schtroumpf de schtroumpf qui a creusé un trou ici ?
En prison ! Qu'on schtroumpfe en prison celui qui a schtroumpfé ce trou !;En prison ! Qu'on jette en prison celui qui a creusé ce trou !
C'est inutile ! Nous schtroumpfons du temps. Schtroumpfez le rassemblement ! Nous retournons au village !;C'est inutile ! Nous perdons du temps. Sonnez le rassemblement ! Nous retournons au village !
Tout le monde est là ? Il me schtroumpfait que nous étions plus nombreux...;Tout le monde est là ? Il me semblait que nous étions plus nombreux...
À moins que je ne schtroumpfe les mesures qui s'imposent...;À moins que je ne prenne les mesures qui s'imposent...
Avis ! Pour défendre la populaschtroumpf contre les insoumis, le Schtroumpfissime a décidé de faire ériger une enceinte protectrice autour du village ! Tous les volontaires devront se schtroumpfer avec pelles et pioches sur la place du village !;Avis ! Pour défendre la population contre les insoumis, le Schtroumpfissime a décidé de faire ériger une enceinte protectrice autour du village ! Tous les volontaires devront se présenter avec pelles et pioches sur la place du village !
Par contre, ceux qui ne seront pas volontaires seront schtroumpfés EN PRISON !;Par contre, ceux qui ne seront pas volontaires seront jetés EN PRISON !
Oh, moi de toute façon j'ai schtroumpfé mes précautions !;Oh, moi de toute façon j'ai pris mes précautions !
Quel est le schtroumpf qui s'amuse à schtroumpfer des cailloux ?;Quel est l'imbécile qui s'amuse à jeter des cailloux ?
Schtroumpfissime, si tu n'abdiques pas demain au lever du schtroumpf, nous schtroumpferons à l'attaque. Les insoumis.;Schtroumpfissime, si tu n'abdiques pas demain au lever du soleil, nous passerons à l'attaque. Les insoumis.
Chacun à son poste ! Schtroumpfez les dispositifs de défense !;Chacun à son poste ! Préparez les dispositifs de défense !
Vous, schtroumpfez l'oeil, et le bon !;Vous, ouvrez l'oeil, et le bon !
Ha ! Ha ! Ils peuvent venir ! Je les attends de pied ferme !;Ha ! Ha ! Ils peuvent venir ! Je les attends de pied ferme !
C'est honteux ! On ne laisse pas un Schtroumpf comme moi schtroumpfer aussi longtemps en prison !;C'est honteux ! On ne laisse pas un Schtroumpf comme moi moisir aussi longtemps en prison !
Schtroumpfs ! Nous allons schtroumpfer bataille ! Et nous schtroumpferons parce que nous somme les plus forts ! Je suis certain que vous vous en schtroumpferez vaillamaet, en brave schtroumpfs, et que plutôt que de vous rendre, vous préfèrerez vous faire schtroumpfer sur place !... D'ailleurs ce qui refuseront de se faire schtroumpfer sur place seront aussitôt schtroumpfés par les armes !;Schtroumpfs ! Nous allons mener bataille ! Et nous vaincrons parce que nous somme les plus forts ! Je suis certain que vous vous en tirerez vaillament, en brave schtroumpfs, et que plutôt que de vous rendre, vous préfèrerez vous faire tuer sur place !... D'ailleurs ce qui refuseront de se faire tuer sur place seront aussitôt passés par les armes !
Attention ! À mon commandement... SCHTROUMPF !;Attention ! À mon commandement... FEU !
Attention ! Là ! Ils ont réussi à schtroumpfer une échelle contre la palissade !;Attention ! Là ! Ils ont réussi à poser une échelle contre la palissade !
